Geo Point;Geo Shape;gml_id;GID;NOM_SITE_A;ESP_VISEE;ESP_DETAIL;TERRIT_P
44.8541977077791, -0.6002786736161408;"{""coordinates"": [-0.600278673616141, 44.8541977077791], ""type"": ""Point""}";_4ac15377-1d13-11eb-8cbe-11636db21fc6.79942;79942;Parc Bordelais L 3 Chênaie;OISEAU;ROUGEGORGE FAMILIER;PT_BORDEAUX
44.8160475006127, -0.554256929714486;"{""coordinates"": [-0.554256929714486, 44.8160475006127], ""type"": ""Point""}";_4ac15377-1d13-11eb-8cbe-11636db21fc6.79850;79850;Jardin Brascassat 26;OISEAU;MESANGE CHARBONIERE;PT_BORDEAUX
44.88362537519562, -0.5392485892168312;"{""coordinates"": [-0.539248589216831, 44.88362537519562], ""type"": ""Point""}";_4ac15377-1d13-11eb-8cbe-11636db21fc6.79868;79868;Parc des Berges de Garonne C 126;OISEAU;MESANGE BLEUE;PT_BORDEAUX
44.82457163620305, -0.5819748344178001;"{""coordinates"": [-0.5819748344178, 44.82457163620305], ""type"": ""Point""}";_4ac15377-1d13-11eb-8cbe-11636db21fc6.79896;79896;Jardin des Dames de la foi 116;OISEAU;ROUGEQUEUE NOIR;PT_BORDEAUX
44.848478783508156, -0.5949370551964919;"{""coordinates"": [-0.594937055196492, 44.848478783508156], ""type"": ""Point""}";_4ac15377-1d13-11eb-8cbe-11636db21fc6.79887;79887;Jardin de la Visitation 26;OISEAU;CHOUETTE HULOTTE;PT_BORDEAUX
44.84802236982777, -0.5953211286979437;"{""coordinates"": [-0.595321128697944, 44.84802236982777], ""type"": ""Point""}";_4ac15377-1d13-11eb-8cbe-11636db21fc6.79888;79888;Jardin de la Visitation 4;OISEAU;MESANGE BLEUE;PT_BORDEAUX
44.82531554743872, -0.5824348602746398;"{""coordinates"": [-0.58243486027464, 44.82531554743872], ""type"": ""Point""}";_4ac15377-1d13-11eb-8cbe-11636db21fc6.79892;79892;Jardin des Dames de la foi 1;OISEAU;SITELLE TORCHEPOT;PT_BORDEAUX
44.82484126953506, -0.5822174085384537;"{""coordinates"": [-0.582217408538454, 44.82484126953506], ""type"": ""Point""}";_4ac15377-1d13-11eb-8cbe-11636db21fc6.79899;79899;Jardin des Dames de la foi 74;OISEAU;ROUGEGORGE FAMILIER;PT_BORDEAUX
44.85020653459385, -0.5803267841533117;"{""coordinates"": [-0.580326784153312, 44.85020653459385], ""type"": ""Point""}";_4ac15377-1d13-11eb-8cbe-11636db21fc6.79901;79901;Jardin Public V 25 Lac;OISEAU;GRIMPEREAU DES JARDINS;PT_BORDEAUX
44.8868850505175, -0.5390831896875908;"{""coordinates"": [-0.539083189687591, 44.8868850505175], ""type"": ""Point""}";_4ac15377-1d13-11eb-8cbe-11636db21fc6.79905;79905;Parc des Berges de Garonne D 6;OISEAU;ROUGEGORGE FAMILIER;PT_BORDEAUX
44.84969788220098, -0.5799361665567339;"{""coordinates"": [-0.579936166556734, 44.84969788220098], ""type"": ""Point""}";_4ac15377-1d13-11eb-8cbe-11636db21fc6.79911;79911;Jardin Public JB K 2 Jardin Botanique;OISEAU;MESANGE BLEUE;PT_BORDEAUX
44.88784696593865, -0.539000157477065;"{""coordinates"": [-0.539000157477065, 44.88784696593865], ""type"": ""Point""}";_4ac15377-1d13-11eb-8cbe-11636db21fc6.79916;79916;Parc des Berges de Garonne D 44;OISEAU;GRIMPEREAU DES JARDINS;PT_BORDEAUX
44.85505119947738, -0.5865874216217162;"{""coordinates"": [-0.586587421621716, 44.85505119947738], ""type"": ""Point""}";_4ac15377-1d13-11eb-8cbe-11636db21fc6.79917;79917;Parc Rivière Ruines Espaces centraux;OISEAU;ROUGEGORGE FAMILIER;PT_BORDEAUX
44.85345053564365, -0.6056048686008143;"{""coordinates"": [-0.605604868600814, 44.85345053564365], ""type"": ""Point""}";_4ac15377-1d13-11eb-8cbe-11636db21fc6.79918;79918;Parc Bordelais Z 39 Lisière;OISEAU;MESANGE BLEUE;PT_BORDEAUX
44.87462420615611, -0.5699537619393354;"{""coordinates"": [-0.569953761939335, 44.87462420615611], ""type"": ""Point""}";_4ac15377-1d13-11eb-8cbe-11636db21fc6.79919;79919;Parc Denis et Eugène Bühler B 40;OISEAU;MESANGE BLEUE;PT_BORDEAUX
44.82542745419847, -0.5816843704414474;"{""coordinates"": [-0.581684370441447, 44.82542745419847], ""type"": ""Point""}";_4ac15377-1d13-11eb-8cbe-11636db21fc6.79925;79925;Jardin des Dames de la foi 60;OISEAU;ROUGEQUEUE NOIR;PT_BORDEAUX
44.87790407213572, -0.5742170240562878;"{""coordinates"": [-0.574217024056288, 44.87790407213572], ""type"": ""Point""}";_4ac15377-1d13-11eb-8cbe-11636db21fc6.79981;79981;Parc Denis et Eugène Bühler A 127;OISEAU;CHOUETTE HULOTTE;PT_BORDEAUX
44.88410898293126, -0.5396145956551803;"{""coordinates"": [-0.53961459565518, 44.88410898293126], ""type"": ""Point""}";_4ac15377-1d13-11eb-8cbe-11636db21fc6.79983;79983;Parc des Berges de Garonne C 104;OISEAU;GRIMPEREAU DES JARDINS;PT_BORDEAUX
44.854778435052964, -0.6029418345998273;"{""coordinates"": [-0.602941834599827, 44.854778435052964], ""type"": ""Point""}";_4ac15377-1d13-11eb-8cbe-11636db21fc6.79989;79989;Parc Bordelais Qr 2 Espaces centraux;OISEAU;MESANGE CHARBONIERE;PT_BORDEAUX
44.8550169693905, -0.6015384583403216;"{""coordinates"": [-0.601538458340322, 44.8550169693905], ""type"": ""Point""}";_4ac15377-1d13-11eb-8cbe-11636db21fc6.79995;79995;Parc Bordelais O 49 Chênaie;OISEAU;ROUGEGORGE FAMILIER;PT_BORDEAUX
44.8535806244485, -0.6006097682313618;"{""coordinates"": [-0.600609768231362, 44.8535806244485], ""type"": ""Point""}";_4ac15377-1d13-11eb-8cbe-11636db21fc6.79997;79997;Parc Bordelais K 17 Chênaie;OISEAU;MESANGE CHARBONIERE;PT_BORDEAUX
44.855414295934, -0.5873514114887688;"{""coordinates"": [-0.587351411488769, 44.855414295934], ""type"": ""Point""}";_4ac15377-1d13-11eb-8cbe-11636db21fc6.79998;79998;Parc Rivière Espaces centraux;OISEAU;ROUGEQUEUE A FRONT BLANC;PT_BORDEAUX
44.849225402320776, -0.5773977413873524;"{""coordinates"": [-0.577397741387352, 44.849225402320776], ""type"": ""Point""}";_4ac15377-1d13-11eb-8cbe-11636db21fc6.80036;80036;Jardin Public M 11 Aire de jeux-Ile aux enfants;OISEAU;MESANGE BLEUE;PT_BORDEAUX
44.847985140954194, -0.5790119586105952;"{""coordinates"": [-0.579011958610595, 44.847985140954194], ""type"": ""Point""}";_4ac15377-1d13-11eb-8cbe-11636db21fc6.80042;80042;Jardin Public F 10 Espaces Centraux;OISEAU;MESANGE BLEUE;PT_BORDEAUX
44.84965540746308, -0.5807252285001382;"{""coordinates"": [-0.580725228500138, 44.84965540746308], ""type"": ""Point""}";_4ac15377-1d13-11eb-8cbe-11636db21fc6.80044;80044;Jardin Public AC 9 Espaces Centraux;OISEAU;MESANGE BLEUE;PT_BORDEAUX
44.88189503512549, -0.5397478371743717;"{""coordinates"": [-0.539747837174372, 44.88189503512549], ""type"": ""Point""}";_4ac15377-1d13-11eb-8cbe-11636db21fc6.79944;79944;Parc des Berges de Garonne B 94;OISEAU;MESANGE BLEUE;PT_BORDEAUX
44.882602237583335, -0.5394871109350325;"{""coordinates"": [-0.539487110935033, 44.882602237583335], ""type"": ""Point""}";_4ac15377-1d13-11eb-8cbe-11636db21fc6.79949;79949;Parc des Berges de Garonne B 7;OISEAU;TROGLODYTE MIGNON;PT_BORDEAUX
44.8837743183072, -0.5396906935935032;"{""coordinates"": [-0.539690693593503, 44.8837743183072], ""type"": ""Point""}";_4ac15377-1d13-11eb-8cbe-11636db21fc6.79950;79950;Parc des Berges de Garonne C 120;OISEAU;TORCOL FOURMILIER;PT_BORDEAUX
44.848037547215895, -0.5955079677464113;"{""coordinates"": [-0.595507967746411, 44.848037547215895], ""type"": ""Point""}";_4ac15377-1d13-11eb-8cbe-11636db21fc6.79839;79839;Jardin de la Visitation_Bâtiment;OISEAU;MOINEAU DOMESTIQUE;PT_BORDEAUX
44.90510228597442, -0.567011940178138;"{""coordinates"": [-0.567011940178138, 44.90510228597442], ""type"": ""Point""}";_4ac15377-1d13-11eb-8cbe-11636db21fc6.79842;79842;Parc Floral_Bâtiment Classes vertes;OISEAU;CHOUETTE CHEVECHE;PT_BORDEAUX
44.826687135267285, -0.5972843991587204;"{""coordinates"": [-0.59728439915872, 44.826687135267285], ""type"": ""Point""}";_4ac15377-1d13-11eb-8cbe-11636db21fc6.79843;79843;Jardin de la Béchade A;OISEAU;MESANGE BLEUE;PT_BORDEAUX
44.854118164442845, -0.6315736486591061;"{""coordinates"": [-0.631573648659106, 44.854118164442845], ""type"": ""Point""}";_4ac15377-1d13-11eb-8cbe-11636db21fc6.79844;79844;Parc Monséjour_Bâtiment;OISEAU;ROUGEQUEUE NOIR;PT_BORDEAUX
44.85410124011399, -0.6313869198348395;"{""coordinates"": [-0.63138691983484, 44.85410124011399], ""type"": ""Point""}";_4ac15377-1d13-11eb-8cbe-11636db21fc6.79848;79848;Parc Monséjour_Bâtiment;OISEAU;GOBEMOUCHE GRIS;PT_BORDEAUX
44.82613765633451, -0.5980443950381061;"{""coordinates"": [-0.598044395038106, 44.82613765633451], ""type"": ""Point""}";_4ac15377-1d13-11eb-8cbe-11636db21fc6.79880;79880;Jardin de la Béchade A 49;OISEAU;MESANGE BLEUE;PT_BORDEAUX
44.84241294573512, -0.585579264079432;"{""coordinates"": [-0.585579264079432, 44.84241294573512], ""type"": ""Point""}";_4ac15377-1d13-11eb-8cbe-11636db21fc6.84811;84811;Place des Martyrs de la Résistance A 30 Centre Ville;OISEAU;MESANGE BLEUE;PT_BORDEAUX
44.852284782504434, -0.6002200162404967;"{""coordinates"": [-0.600220016240497, 44.852284782504434], ""type"": ""Point""}";_4ac15377-1d13-11eb-8cbe-11636db21fc6.79992;79992;Parc Bordelais F 24 Espaces centraux;OISEAU;SITELLE TORCHEPOT;PT_BORDEAUX
44.85545668273783, -0.5858573616705544;"{""coordinates"": [-0.585857361670554, 44.85545668273783], ""type"": ""Point""}";_4ac15377-1d13-11eb-8cbe-11636db21fc6.79954;79954;Parc Rivière Maison du Jardinier;OISEAU;MOINEAU DOMESTIQUE;PT_BORDEAUX
44.8265100291547, -0.5990051136052509;"{""coordinates"": [-0.599005113605251, 44.8265100291547], ""type"": ""Point""}";_4ac15377-1d13-11eb-8cbe-11636db21fc6.79914;79914;Jardin de la Béchade A 34;OISEAU;CHOUETTE HULOTTE;PT_BORDEAUX
44.85396615818533, -0.5987500613456364;"{""coordinates"": [-0.598750061345636, 44.85396615818533], ""type"": ""Point""}";_4ac15377-1d13-11eb-8cbe-11636db21fc6.79993;79993;Parc Bordelais Agent logé H Lisière;OISEAU;ROUGEQUEUE NOIR;PT_BORDEAUX
44.81512179076897, -0.5546015271844202;"{""coordinates"": [-0.55460152718442, 44.81512179076897], ""type"": ""Point""}";_4ac15377-1d13-11eb-8cbe-11636db21fc6.79835;79835;Jardin Brascassat 88;OISEAU;MESANGE BLEUE;PT_BORDEAUX
44.84251504842223, -0.5857466751219946;"{""coordinates"": [-0.585746675121995, 44.84251504842223], ""type"": ""Point""}";_4ac15377-1d13-11eb-8cbe-11636db21fc6.84809;84809;Place des Martyrs de la Résistance A 26 Centre Ville;CHAUVE_SOURIS;CHRYSOPE;PT_BORDEAUX
44.85408336785559, -0.5993679297243858;"{""coordinates"": [-0.599367929724386, 44.85408336785559], ""type"": ""Point""}";_4ac15377-1d13-11eb-8cbe-11636db21fc6.79986;79986;Parc Bordelais I 7 Espaces centraux;OISEAU;GOBEMOUCHE GRIS;PT_BORDEAUX
44.847574681535534, -0.5777499428211699;"{""coordinates"": [-0.57774994282117, 44.847574681535534], ""type"": ""Point""}";_4ac15377-1d13-11eb-8cbe-11636db21fc6.80017;80017;Jardin Public H 8 Espaces Centraux;OISEAU;TROGLODYTE MIGNON;PT_BORDEAUX
44.84962582308253, -0.5767954042648652;"{""coordinates"": [-0.576795404264865, 44.84962582308253], ""type"": ""Point""}";_4ac15377-1d13-11eb-8cbe-11636db21fc6.80038;80038;Jardin Public O 27 Espaces Centraux;OISEAU;MESANGE CHARBONIERE;PT_BORDEAUX
44.84702051233242, -0.5647494684946325;"{""coordinates"": [-0.564749468494632, 44.84702051233242], ""type"": ""Point""}";_4ac15377-1d13-11eb-8cbe-11636db21fc6.80054;80054;Parc des Berges de Queyries Quai de Queyries_B 120;OISEAU;ROUGEQUEUE NOIR;PT_BORDEAUX
44.85186295804892, -0.604989563475107;"{""coordinates"": [-0.604989563475107, 44.85186295804892], ""type"": ""Point""}";_4ac15377-1d13-11eb-8cbe-11636db21fc6.79967;79967;Parc Bordelais Jj 131 Lisière;OISEAU;MESANGE CHARBONIERE;PT_BORDEAUX
44.84246280959571, -0.5849314332338165;"{""coordinates"": [-0.584931433233816, 44.84246280959571], ""type"": ""Point""}";_4ac15377-1d13-11eb-8cbe-11636db21fc6.84804;84804;Place des Martyrs de la Résistance B 9 Centre Ville;CHAUVE_SOURIS;CHRYSOPE;PT_BORDEAUX
44.85237819364341, -0.6013307816363441;"{""coordinates"": [-0.601330781636344, 44.85237819364341], ""type"": ""Point""}";_4ac15377-1d13-11eb-8cbe-11636db21fc6.80011;80011;Parc Bordelais D 16 Espaces centraux;OISEAU;ROUGEQUEUE A FRONT BLANC;PT_BORDEAUX
44.85027207057961, -0.5789818356513076;"{""coordinates"": [-0.578981835651308, 44.85027207057961], ""type"": ""Point""}";_4ac15377-1d13-11eb-8cbe-11636db21fc6.80012;80012;Jardin Public AA 6 Espaces Centraux;OISEAU;MESANGE BLEUE;PT_BORDEAUX
44.85430962930962, -0.6034404853876911;"{""coordinates"": [-0.603440485387691, 44.85430962930962], ""type"": ""Point""}";_4ac15377-1d13-11eb-8cbe-11636db21fc6.80013;80013;Parc Bordelais Qr 38 Espaces centraux;OISEAU;MESANGE BLEUE;PT_BORDEAUX
44.853217895371046, -0.6043974708685249;"{""coordinates"": [-0.604397470868525, 44.853217895371046], ""type"": ""Point""}";_4ac15377-1d13-11eb-8cbe-11636db21fc6.80016;80016;Parc Bordelais Bb 13 Espaces centraux;OISEAU;SITELLE TORCHEPOT;PT_BORDEAUX
44.88274812148258, -0.5402130853148243;"{""coordinates"": [-0.540213085314824, 44.88274812148258], ""type"": ""Point""}";_4ac15377-1d13-11eb-8cbe-11636db21fc6.80018;80018;Parc des Berges de Garonne A 260;OISEAU;MESANGE BLEUE;PT_BORDEAUX
44.888252259536415, -0.5400746454579581;"{""coordinates"": [-0.540074645457958, 44.888252259536415], ""type"": ""Point""}";_4ac15377-1d13-11eb-8cbe-11636db21fc6.80022;80022;Parc des Berges de Garonne E 97;OISEAU;MESANGE CHARBONIERE;PT_BORDEAUX
44.855037646373134, -0.6029546304107156;"{""coordinates"": [-0.602954630410716, 44.855037646373134], ""type"": ""Point""}";_4ac15377-1d13-11eb-8cbe-11636db21fc6.80028;80028;Parc Bordelais Qr 186 Espaces centraux;OISEAU;MESANGE CHARBONIERE;PT_BORDEAUX
44.8498809789909, -0.5802266435598864;"{""coordinates"": [-0.580226643559886, 44.8498809789909], ""type"": ""Point""}";_4ac15377-1d13-11eb-8cbe-11636db21fc6.80034;80034;Jardin Public JB H 10 Jardin Botanique;OISEAU;TROGLODYTE MIGNON;PT_BORDEAUX
44.90286004411004, -0.5618659193764576;"{""coordinates"": [-0.561865919376458, 44.90286004411004], ""type"": ""Point""}";_4ac15377-1d13-11eb-8cbe-11636db21fc6.80035;80035;Parc Floral J 217;OISEAU;SITELLE TORCHEPOT;PT_BORDEAUX
44.84739920932494, -0.5645366201018663;"{""coordinates"": [-0.564536620101866, 44.84739920932494], ""type"": ""Point""}";_4ac15377-1d13-11eb-8cbe-11636db21fc6.80050;80050;Parc des Berges de Queyries Quai de Queyries_B 116;OISEAU;MESANGE BLEUE;PT_BORDEAUX
44.846407278547325, -0.5649555235123881;"{""coordinates"": [-0.564955523512388, 44.846407278547325], ""type"": ""Point""}";_4ac15377-1d13-11eb-8cbe-11636db21fc6.80053;80053;Parc des Berges de Queyries Quai de Queyries_B 128;OISEAU;MOINEAU DOMESTIQUE;PT_BORDEAUX
44.85193733019004, -0.603736065402274;"{""coordinates"": [-0.603736065402274, 44.85193733019004], ""type"": ""Point""}";_4ac15377-1d13-11eb-8cbe-11636db21fc6.80058;80058;Parc Bordelais Local Animaux Ee Espaces centraux;OISEAU;GOBEMOUCHE GRIS;PT_BORDEAUX
44.85330887137566, -0.6020668840241536;"{""coordinates"": [-0.602066884024154, 44.85330887137566], ""type"": ""Point""}";_4ac15377-1d13-11eb-8cbe-11636db21fc6.80059;80059;Parc Bordelais Buvette Q Chênaie;OISEAU;ROUGEQUEUE NOIR;PT_BORDEAUX
44.877717232954026, -0.5739734499433506;"{""coordinates"": [-0.573973449943351, 44.877717232954026], ""type"": ""Point""}";_4ac15377-1d13-11eb-8cbe-11636db21fc6.79935;79935;Parc Denis et Eugène Bühler A 112;OISEAU;TROGLODYTE MIGNON;PT_BORDEAUX
44.85374602009994, -0.6046088334043535;"{""coordinates"": [-0.604608833404353, 44.85374602009994], ""type"": ""Point""}";_4ac15377-1d13-11eb-8cbe-11636db21fc6.79953;79953;Parc Bordelais Z 104 Lisière;OISEAU;MESANGE BLEUE;PT_BORDEAUX
44.84572028084005, -0.5653107281836858;"{""coordinates"": [-0.565310728183686, 44.84572028084005], ""type"": ""Point""}";_4ac15377-1d13-11eb-8cbe-11636db21fc6.79958;79958;Parc des Berges de Queyries 22;OISEAU;ROUGEQUEUE NOIR;PT_BORDEAUX
44.847032864960745, -0.5653013046666696;"{""coordinates"": [-0.56530130466667, 44.847032864960745], ""type"": ""Point""}";_4ac15377-1d13-11eb-8cbe-11636db21fc6.79959;79959;Parc des Berges de Queyries 12;OISEAU;CHOUETTE HULOTTE;PT_BORDEAUX
44.85567389349891, -0.5872347296053158;"{""coordinates"": [-0.587234729605316, 44.85567389349891], ""type"": ""Point""}";_4ac15377-1d13-11eb-8cbe-11636db21fc6.79962;79962;Parc Rivière 37 Espaces centraux;OISEAU;MESANGE BLEUE;PT_BORDEAUX
44.85433104104534, -0.6017477138769854;"{""coordinates"": [-0.601747713876985, 44.85433104104534], ""type"": ""Point""}";_4ac15377-1d13-11eb-8cbe-11636db21fc6.79969;79969;Parc Bordelais O 8 Chênaie;OISEAU;SITELLE TORCHEPOT;PT_BORDEAUX
44.849119427392495, -0.5803586184533697;"{""coordinates"": [-0.58035861845337, 44.849119427392495], ""type"": ""Point""}";_4ac15377-1d13-11eb-8cbe-11636db21fc6.79973;79973;Jardin Public Z 12 Lisière;OISEAU;MESANGE BLEUE;PT_BORDEAUX
44.85558736040485, -0.5870849644144263;"{""coordinates"": [-0.587084964414426, 44.85558736040485], ""type"": ""Point""}";_4ac15377-1d13-11eb-8cbe-11636db21fc6.79974;79974;Parc Rivière 28 Espaces centraux;OISEAU;CHOUETTE HULOTTE;PT_BORDEAUX
44.8545527411188, -0.631581673289929;"{""coordinates"": [-0.631581673289929, 44.8545527411188], ""type"": ""Point""}";_4ac15377-1d13-11eb-8cbe-11636db21fc6.79975;79975;Parc Monséjour Entrée à droite;OISEAU;ROUGEGORGE FAMILIER;PT_BORDEAUX
44.88454959898156, -0.5392219118988973;"{""coordinates"": [-0.539221911898897, 44.88454959898156], ""type"": ""Point""}";_4ac15377-1d13-11eb-8cbe-11636db21fc6.79978;79978;Parc des Berges de Garonne C 90;OISEAU;TROGLODYTE MIGNON;PT_BORDEAUX
44.854807992845394, -0.5862582009086308;"{""coordinates"": [-0.586258200908631, 44.854807992845394], ""type"": ""Point""}";_4ac15377-1d13-11eb-8cbe-11636db21fc6.79833;79833;Parc Rivière 170 Lisière;OISEAU;SITELLE TORCHEPOT;PT_BORDEAUX
44.8780356555869, -0.574263707859505;"{""coordinates"": [-0.574263707859505, 44.8780356555869], ""type"": ""Point""}";_4ac15377-1d13-11eb-8cbe-11636db21fc6.79853;79853;Parc Denis et Eugène Bühler A 145;OISEAU;ROUGEGORGE FAMILIER;PT_BORDEAUX
44.85592855250936, -0.5853961140165485;"{""coordinates"": [-0.585396114016548, 44.85592855250936], ""type"": ""Point""}";_4ac15377-1d13-11eb-8cbe-11636db21fc6.79859;79859;Parc Rivière Lisière;OISEAU;MESANGE BLEUE;PT_BORDEAUX
44.854165836673076, -0.6311297235455143;"{""coordinates"": [-0.631129723545514, 44.854165836673076], ""type"": ""Point""}";_4ac15377-1d13-11eb-8cbe-11636db21fc6.79862;79862;Parc Monséjour 5;OISEAU;MESANGE BLEUE;PT_BORDEAUX
44.855185589381904, -0.6323888075725365;"{""coordinates"": [-0.632388807572536, 44.855185589381904], ""type"": ""Point""}";_4ac15377-1d13-11eb-8cbe-11636db21fc6.79864;79864;Parc Monséjour 187;OISEAU;MOINEAU FRIQUET;PT_BORDEAUX
44.84952912461638, -0.5760455679903079;"{""coordinates"": [-0.576045567990308, 44.84952912461638], ""type"": ""Point""}";_4ac15377-1d13-11eb-8cbe-11636db21fc6.79867;79867;Jardin Public Q 4 Lisière;OISEAU;MESANGE BLEUE;PT_BORDEAUX
44.854463938169054, -0.5858360806595262;"{""coordinates"": [-0.585836080659526, 44.854463938169054], ""type"": ""Point""}";_4ac15377-1d13-11eb-8cbe-11636db21fc6.79872;79872;Parc Rivière 144 Lisière;OISEAU;ROUGEGORGE FAMILIER;PT_BORDEAUX
44.85449907368477, -0.5859503469942247;"{""coordinates"": [-0.585950346994225, 44.85449907368477], ""type"": ""Point""}";_4ac15377-1d13-11eb-8cbe-11636db21fc6.79876;79876;Parc Rivière 146 Lisière;OISEAU;TROGLODYTE MIGNON;PT_BORDEAUX
44.85353485994612, -0.6306223750658412;"{""coordinates"": [-0.630622375065841, 44.85353485994612], ""type"": ""Point""}";_4ac15377-1d13-11eb-8cbe-11636db21fc6.79857;79857;Parc Monséjour 66;OISEAU;SITELLE TORCHEPOT;PT_BORDEAUX
