nom,sci,groupe
Accenteur mouchet,Prunella modularis,oiseaux
Aigrette garzette,Egretta garzetta,oiseaux
Bergeronnette des ruisseaux,Motacilla cinerea,oiseaux
Bergeronnette grise,Motacilla alba,oiseaux
Bernache du Canada,Branta canadensis,oiseaux
Blongios nain,Botaurus minutus,oiseaux
Bondrée apivore,Pernis apivorus,oiseaux
Bouvreuil pivoine,Pyrrhula pyrrhula,oiseaux
Bruant des roseaux,Emberiza schoeniclus,oiseaux
Buse variable,Buteo buteo,oiseaux
Canard chipeau,Mareca strepera,oiseaux
Canard colvert,Anas platyrhynchos,oiseaux
Canard mandarin,Aix galericulata,oiseaux
Canard souchet,Spatula clypeata,oiseaux
Chardonneret élégant,Carduelis carduelis,oiseaux
Chevalier guignette,Actitis hypoleucos,oiseaux
Choucas des tours,Coloeus monedula,oiseaux
Chouette hulotte,Strix aluco,oiseaux
Cigogne blanche,Ciconia ciconia,oiseaux
Corbeau freux,Corvus frugilegus,oiseaux
Corneille noire,Corvus corone,oiseaux
Coucou gris,Cuculus canorus,oiseaux
Cygne noir,Cygnus atratus,oiseaux
Cygne tuberculé,Cygnus olor,oiseaux
Épervier d'Europe,Accipiter nisus,oiseaux
Étourneau sansonnet,Sturnus vulgaris,oiseaux
Faucon crécerelle,Falco tinnunculus,oiseaux
Faucon hobereau,Falco subbuteo,oiseaux
Fauvette à tête noire,Sylvia atricapilla,oiseaux
Fauvette babillarde,Curruca curruca,oiseaux
Fauvette des jardins,Sylvia borin,oiseaux
Fauvette grisette,Curruca communis,oiseaux
Foulque macroule,Fulica atra,oiseaux
Fuligule milouin,Aythya ferina,oiseaux
Fuligule morillon,Aythya fuligula,oiseaux
Fuligule nyroca,Aythya nyroca,oiseaux
Gallinule poule-d'eau,Gallinula chloropus,oiseaux
Geai des chênes,Garrulus glandarius,oiseaux
Gobemouche gris,Muscicapa striata,oiseaux
Gobemouche noir,Ficedula hypoleuca,oiseaux
Goéland argenté,Larus argentatus,oiseaux
Goéland brun,Larus fuscus,oiseaux
Goéland indéterminé,Larus sp.,oiseaux
Grand Cormoran,Phalacrocorax carbo,oiseaux
Grande Aigrette,Ardea alba,oiseaux
Grèbe castagneux,Tachybaptus ruficollis,oiseaux
Grèbe huppé,Podiceps cristatus,oiseaux
Grimpereau des jardins,Certhia brachydactyla,oiseaux
Grive draine,Turdus viscivorus,oiseaux
Grive mauvis,Turdus iliacus,oiseaux
Grive musicienne,Turdus philomelos,oiseaux
Grosbec casse-noyaux,Coccothraustes coccothraustes,oiseaux
Grue cendrée,Grus grus,oiseaux
Héron cendré,Ardea cinerea,oiseaux
Hirondelle de fenêtre,Delichon urbicum,oiseaux
Hirondelle de rivage,Riparia riparia,oiseaux
Hirondelle rustique,Hirundo rustica,oiseaux
Hypolaïs polyglotte,Hippolais polyglotta,oiseaux
Linotte mélodieuse,Linaria cannabina,oiseaux
Loriot d'Europe,Oriolus oriolus,oiseaux
Martin-pêcheur d'Europe,Alcedo atthis,oiseaux
Martinet noir,Apus apus,oiseaux
Merle / Grive indéterminé,Turdus sp.,oiseaux
Merle noir,Turdus merula,oiseaux
Mésange à longue queue,Aegithalos caudatus,oiseaux
Mésange bleue,Cyanistes caeruleus,oiseaux
Mésange boréale,Poecile montanus,oiseaux
Mésange charbonnière,Parus major,oiseaux
Mésange huppée,Lophophanes cristatus,oiseaux
Mésange noire,Periparus ater,oiseaux
Mésange nonnette,Poecile palustris,oiseaux
Milan noir,Milvus migrans,oiseaux
Moineau domestique,Passer domesticus,oiseaux
Mouette mélanocéphale,Ichthyaetus melanocephalus,oiseaux
Mouette rieuse,Chroicocephalus ridibundus,oiseaux
Nette rousse,Netta rufina,oiseaux
Oie à tête barrée,Anser indicus,oiseaux
Ouette d'Égypte,Alopochen aegyptiaca,oiseaux
Perruche à collier,Psittacula krameri,oiseaux
Pic épeiche,Dendrocopos major,oiseaux
Pic épeichette,Dryobates minor,oiseaux
Pic mar,Dendrocoptes medius,oiseaux
Pic noir,Dryocopus martius,oiseaux
Pic vert,Picus viridis,oiseaux
Pie bavarde,Pica pica,oiseaux
Pigeon biset domestique,Columba livia f. domestica,oiseaux
Pigeon colombin,Columba oenas,oiseaux
Pigeon indéterminé,Columba sp.,oiseaux
Pigeon ramier,Columba palumbus,oiseaux
Pinson des arbres,Fringilla coelebs,oiseaux
Pinson du Nord,Fringilla montifringilla,oiseaux
Plongeon imbrin,Gavia immer,oiseaux
Pouillot fitis,Phylloscopus trochilus,oiseaux
Pouillot siffleur,Phylloscopus sibilatrix,oiseaux
Pouillot véloce,Phylloscopus collybita,oiseaux
Pouillot véloce (ssp. collybita),Phylloscopus collybita collybita,oiseaux
Râle d'eau,Rallus aquaticus,oiseaux
Rémiz penduline,Remiz pendulinus,oiseaux
Roitelet à triple bandeau,Regulus ignicapilla,oiseaux
Roitelet huppé,Regulus regulus,oiseaux
Rossignol philomèle,Luscinia megarhynchos,oiseaux
Rougegorge familier,Erithacus rubecula,oiseaux
Rougequeue à front blanc,Phoenicurus phoenicurus,oiseaux
Rougequeue noir,Phoenicurus ochruros,oiseaux
Rousserolle effarvatte,Acrocephalus scirpaceus,oiseaux
Rousserolle verderolle,Acrocephalus palustris,oiseaux
Sarcelle d'été,Spatula querquedula,oiseaux
Sarcelle d'hiver,Anas crecca,oiseaux
Serin cini,Serinus serinus,oiseaux
Sittelle torchepot,Sitta europaea,oiseaux
Sizerin cabaret,Acanthis flammea cabaret,oiseaux
Sizerin flammé / cabaret,Acanthis flammea flammea / cabaret,oiseaux
Sterne indéterminée,Sternidae sp.,oiseaux
Sterne pierregarin,Sterna hirundo,oiseaux
Tarier pâtre,Saxicola rubicola,oiseaux
Tarin des aulnes,Spinus spinus,oiseaux
Tourterelle des bois,Streptopelia turtur,oiseaux
Tourterelle turque,Streptopelia decaocto,oiseaux
Troglodyte mignon,Troglodytes troglodytes,oiseaux
Verdier d'Europe,Chloris chloris,oiseaux
